loan	119630	0.0887260180908
collection	72394	0.0536924797598
foreclosure	70487	0.0522781144961
modification	70487	0.0522781144961
account	57448	0.0426074754433
credit	55251	0.0409780257923
or	40508	0.0300435805469
payments	39993	0.0296616203419
escrow	36767	0.0272689919514
servicing	36767	0.0272689919514
report	34903	0.0258865185106
incorrect	29133	0.0216070808747
information	29069	0.0215596139754
on	29069	0.0215596139754
debt	27874	0.0206733179659
closing	19000	0.0140917357162
not	18477	0.0137038421488
attempts	17972	0.0133292986469
cont'd	17972	0.0133292986469
collect	17972	0.0133292986469
owed	17972	0.0133292986469
and	16448	0.0121989931084
management	16205	0.0120187672253
opening	16205	0.0120187672253
of	13983	0.0103707758168
my	10731	0.00795886399843
deposits	10555	0.00782833002548
withdrawals	10555	0.00782833002548
problems	9484	0.00703400113327
application	8868	0.00657713222795
communication	8671	0.00643102317868
tactics	8671	0.00643102317868
broker	8625	0.00639690634484
mortgage	8625	0.00639690634484
originator	8625	0.00639690634484
to	8401	0.00623077219745
unable	8178	0.00606537972036
billing	8158	0.00605054631434
other	7886	0.00584881199251
disclosure	7655	0.00567748615302
verification	7655	0.00567748615302
disputes	6938	0.00514570854731
reporting	6559	0.00486461550328
lease	6337	0.00469996469649
the	6248	0.00463395603972
by	5663	0.00420007891372
being	5663	0.00420007891372
caused	5663	0.00420007891372
funds	5663	0.00420007891372
low	5663	0.00420007891372
process	5505	0.00408289500619
managing	5006	0.00371280152606
improper	4966	0.00368313471403
company's	4858	0.00360303432153
investigation	4858	0.00360303432153
identity	4729	0.00350735885273
card	4405	0.00326705767525
get	4357	0.00323145750081
score	4357	0.00323145750081
costs	4350	0.0032262658087
settlement	4350	0.0032262658087
interest	4238	0.00314319873501
taking	4206	0.00311946528538
protection	4139	0.00306977337522
when	4095	0.00303713988199
repaying	3844	0.00285098063647
your	3844	0.00285098063647
fraud	3842	0.00284949729587
are	3821	0.00283392221955
pay	3821	0.00283392221955
you	3821	0.00283392221955
contact	3710	0.00275159681616
money	3639	0.0026989382248
false	3621	0.00268558815938
representation	3621	0.00268558815938
statements	3621	0.00268558815938
info	3553	0.00263515457892
a	3503	0.00259807106388
sharing	3489	0.00258768767967
apr	3431	0.00254467080222
rate	3431	0.00254467080222
embezzlement	3276	0.00242971190559
theft	3276	0.00242971190559
making	3226	0.00239262839055
receiving	3226	0.00239262839055
sending	3226	0.00239262839055
fee	3198	0.00237186162212
action	2964	0.00219831077172
an	2964	0.00219831077172
illegal	2964	0.00219831077172
threatening	2964	0.00219831077172
cancelling	2795	0.00207296849088
decision	2774	0.00205739341456
underwriting	2774	0.00205739341456
customer	2734	0.00202772660253
atm	2422	0.00179632546866
debit	2422	0.00179632546866
using	2422	0.00179632546866
lender	2165	0.00160571620134
can't	1999	0.0014825989314
dealing	1944	0.00144180706485
servicer	1944	0.00144180706485
with	1944	0.00144180706485
late	1797	0.00133278153063
line	1732	0.00128457296107
repay	1647	0.0012215309855
service	1518	0.00112585551669
determination	1490	0.00110508874827
transaction	1485	0.00110138039676
use	1477	0.00109544703436
monitoring	1453	0.00107764694714
relations	1367	0.00101386330126
out	1242	0.000921154513657
statement	1220	0.000904837767038
advertising	1193	0.000884812668915
marketing	1193	0.000884812668915
payoff	1155	0.000856629197483
decrease	1149	0.000852179175678
increase	1149	0.000852179175678
issue	1098	0.000814353990335
delinquent	1061	0.000786912189203
practices	1003	0.000743895311754
rewards	1002	0.000743153641453
charged	976	0.000723870213631
for	929	0.000689011709491
didn't	925	0.000686045028287
i	925	0.000686045028287
dispute	904	0.000670469951969
expect	807	0.000598527932787
fees	807	0.000598527932787
shopping	672	0.000498402442172
issuance	640	0.000474668992545
unsolicited	640	0.000474668992545
balance	597	0.000442777169608
transfer	597	0.000442777169608
scam	566	0.000419785390282
issues	538	0.000399018621858
changes	350	0.000259584605298
forbearance	350	0.000259584605298
plans	350	0.000259584605298
terms	350	0.000259584605298
workout	350	0.000259584605298
getting	291	0.000215826057548
available	274	0.000203217662433
promised	274	0.000203217662433
was	274	0.000203217662433
delay	243	0.000180225883107
processing	243	0.000180225883107
advance	240	0.000178000872204
cash	240	0.000178000872204
privacy	240	0.000178000872204
bankruptcy	222	0.000164650806789
received	216	0.000160200784984
bank	202	0.000149817400772
wrong	169	0.000125342280844
arbitration	168	0.000124600610543
acct	163	0.000120892259039
applied	139	0.000103092171818
did	139	0.000103092171818
receive	139	0.000103092171818
sale	139	0.000103092171818
charges	131	9.71588094115e-05
stop	131	9.71588094115e-05
overlimit	127	9.41921282081e-05
apply	118	8.75170955004e-05
amount	98	7.26836894834e-05
credited	92	6.82336676783e-05
payment	92	6.82336676783e-05
checks	75	5.56252725638e-05
convenience	75	5.56252725638e-05
amt	71	5.26585913604e-05
day	71	5.26585913604e-05
disclosures	64	4.74668992545e-05
missing	64	4.74668992545e-05
